"Date","Price","Open","High","Low","Vol.","Change %"
"29-04-2024","2,370.00","2,369.70","2,380.70","2,353.50","9.15K","0.97%"
"26-04-2024","2,347.20","2,344.20","2,364.40","2,338.00","171.01K","0.20%"
"25-04-2024","2,342.50","2,327.40","2,357.60","2,316.40","224.47K","0.18%"
"24-04-2024","2,338.40","2,335.70","2,350.90","2,324.80","187.70K","-0.16%"
"23-04-2024","2,342.10","2,342.30","2,347.90","2,304.60","270.23K","-0.18%"
"22-04-2024","2,346.40","2,403.70","2,404.30","2,338.20","262.67K","-2.79%"
"19-04-2024","2,413.80","2,394.00","2,433.30","2,386.80","275.41K","0.66%"
"18-04-2024","2,398.00","2,377.90","2,408.00","2,377.20","200.55K","0.40%"
"17-04-2024","2,388.40","2,398.00","2,412.00","2,370.70","284.35K","-0.81%"
"16-04-2024","2,407.80","2,399.10","2,414.80","2,379.20","297.59K","1.04%"
"15-04-2024","2,383.00","2,369.40","2,404.30","2,340.20","343.73K","0.37%"
"12-04-2024","2,374.10","2,389.40","2,448.80","2,350.60","479.89K","0.06%"
"11-04-2024","2,372.70","2,351.70","2,395.60","2,343.10","260.42K","1.03%"
"10-04-2024","2,348.40","2,372.40","2,378.10","2,337.10","353.85K","-0.59%"
"09-04-2024","2,362.40","2,358.10","2,384.50","2,355.70","279.61K","0.48%"
"08-04-2024","2,351.00","2,343.60","2,372.50","2,321.70","285.57K","0.24%"
"05-04-2024","2,345.40","2,309.50","2,350.00","2,286.20","293.21K","1.60%"
"04-04-2024","2,308.50","2,321.00","2,325.30","2,298.70","236.23K","-0.28%"
"03-04-2024","2,315.00","2,301.70","2,321.80","2,285.70","254.57K","1.45%"
"02-04-2024","2,281.80","2,272.70","2,301.90","2,267.10","277.23K","1.09%"
"01-04-2024","2,257.10","2,259.20","2,286.40","2,249.10","220.77K","0.84%"
"28-03-2024","2,238.40","2,215.70","2,256.90","2,207.50","250.25K","1.16%"
"27-03-2024","2,212.70","2,200.50","2,218.30","2,193.70","191.46K","1.14%"
"26-03-2024","2,187.80","2,183.00","2,210.70","2,179.30","1.59K","0.05%"
"25-03-2024","2,186.80","2,177.50","2,192.70","2,175.00","0.96K","0.76%"
"22-03-2024","2,170.20","2,193.30","2,198.00","2,169.30","0.64K","-1.13%"
"21-03-2024","2,195.00","2,200.10","2,231.30","2,178.90","0.92K","1.11%"
"20-03-2024","2,171.00","2,171.30","2,201.40","2,164.20","0.66K","0.06%"
"19-03-2024","2,169.80","2,174.20","2,175.00","2,162.10","0.36K","-0.22%"
"18-03-2024","2,174.50","2,169.10","2,176.00","2,160.00","0.26K","0.13%"
"15-03-2024","2,171.60","2,175.50","2,186.70","2,169.40","0.21K","-0.28%"
"14-03-2024","2,177.80","2,190.00","2,190.50","2,168.30","0.35K","-0.61%"
"13-03-2024","2,191.10","2,174.40","2,195.70","2,172.90","0.35K","0.67%"
"12-03-2024","2,176.50","2,198.70","2,199.20","2,168.60","0.58K","-1.01%"
"11-03-2024","2,198.80","2,196.90","2,204.60","2,191.60","0.39K","0.16%"
"08-03-2024","2,195.30","2,176.30","2,211.50","2,172.10","0.46K","0.93%"
"07-03-2024","2,175.00","2,165.70","2,180.00","2,161.40","0.19K","0.32%"
"06-03-2024","2,168.00","2,145.30","2,168.30","2,142.70","0.17K","0.75%"
"05-03-2024","2,151.80","2,133.40","2,157.90","2,130.00","0.25K","0.73%"
"04-03-2024","2,136.20","2,101.10","2,136.50","2,099.90","0.14K","1.46%"
"01-03-2024","2,105.50","2,072.20","2,104.10","2,072.20","0.06K","1.99%"
"29-02-2024","2,064.40","2,060.00","2,063.40","2,060.00","0.01K","0.58%"
"28-02-2024","2,052.40","2,059.70","2,067.30","2,053.60","4.89K","0.41%"
"27-02-2024","2,044.10","2,041.20","2,049.10","2,038.10","148.78K","0.26%"
